"Kod";"Nazwa";"ogółem;2016;[-]";
0000000;"POLSKA";1,7;
0200000;"DOLNOŚLĄSKIE";1,7;
0201000;"Powiat bolesławiecki";1,7;
0202000;"Powiat dzierżoniowski";1,9;
0203000;"Powiat głogowski";2,1;
0204000;"Powiat górowski";1,5;
0205000;"Powiat jaworski";1,6;
0206000;"Powiat jeleniogórski";1,8;
0207000;"Powiat kamiennogórski";1,6;
0208000;"Powiat kłodzki";1,9;
0209000;"Powiat legnicki";1,5;
0210000;"Powiat lubański";1,8;
0211000;"Powiat lubiński";1,9;
0212000;"Powiat lwówecki";1,6;
0213000;"Powiat milicki";1,2;
0214000;"Powiat oleśnicki";1,4;
0215000;"Powiat oławski";1,7;
0216000;"Powiat polkowicki";1,7;
0217000;"Powiat strzeliński";1,7;
0218000;"Powiat średzki";1,7;
0219000;"Powiat świdnicki";2,0;
0220000;"Powiat trzebnicki";1,4;
0221000;"Powiat wałbrzyski";1,7;
0222000;"Powiat wołowski";1,3;
0223000;"Powiat wrocławski";1,6;
0224000;"Powiat ząbkowicki";1,6;
0225000;"Powiat zgorzelecki";1,7;
0226000;"Powiat złotoryjski";1,7;
0261000;"Powiat m.Jelenia Góra";2,3;
0262000;"Powiat m.Legnica";2,1;
0264000;"Powiat m.Wrocław";1,7;
0265000;"Powiat m.Wałbrzych od 2013";2,2;
0400000;"KUJAWSKO-POMORSKIE";1,8;
0401000;"Powiat aleksandrowski";1,8;
0402000;"Powiat brodnicki";1,5;
0403000;"Powiat bydgoski";2,0;
0404000;"Powiat chełmiński";1,3;
0405000;"Powiat golubsko-dobrzyński";1,6;
0406000;"Powiat grudziądzki";1,2;
0407000;"Powiat inowrocławski";1,7;
0408000;"Powiat lipnowski";1,6;
0409000;"Powiat mogileński";1,4;
0410000;"Powiat nakielski";1,8;
0411000;"Powiat radziejowski";1,6;
0412000;"Powiat rypiński";1,8;
0413000;"Powiat sępoleński";1,7;
0414000;"Powiat świecki";1,6;
0415000;"Powiat toruński";1,8;
0416000;"Powiat tucholski";1,7;
0417000;"Powiat wąbrzeski";1,5;
0418000;"Powiat włocławski";1,7;
0419000;"Powiat żniński";1,5;
0461000;"Powiat m.Bydgoszcz";1,9;
0462000;"Powiat m.Grudziądz";1,9;
