"Kod";"Nazwa";"odsetek zgonów wśród osób poniżej 60 roku życia;2017;[-]";
0000000;"POLSKA";15,8;
0200000;"DOLNOŚLĄSKIE";16,2;
0201000;"Powiat bolesławiecki";17,3;
0202000;"Powiat dzierżoniowski";16,0;
0203000;"Powiat głogowski";18,1;
0204000;"Powiat górowski";18,2;
0205000;"Powiat jaworski";15,6;
0206000;"Powiat jeleniogórski";19,1;
0207000;"Powiat kamiennogórski";18,3;
0208000;"Powiat kłodzki";15,9;
0209000;"Powiat legnicki";20,1;
0210000;"Powiat lubański";15,7;
0211000;"Powiat lubiński";17,3;
0212000;"Powiat lwówecki";16,1;
0213000;"Powiat milicki";19,9;
0214000;"Powiat oleśnicki";16,5;
0215000;"Powiat oławski";17,1;
0216000;"Powiat polkowicki";19,5;
0217000;"Powiat strzeliński";12,9;
0218000;"Powiat średzki";20,4;
0219000;"Powiat świdnicki";17,1;
0220000;"Powiat trzebnicki";18,1;
0221000;"Powiat wałbrzyski";17,4;
0222000;"Powiat wołowski";19,1;
0223000;"Powiat wrocławski";20,0;
0224000;"Powiat ząbkowicki";15,6;
0225000;"Powiat zgorzelecki";18,1;
0226000;"Powiat złotoryjski";20,3;
0261000;"Powiat m.Jelenia Góra";12,6;
0262000;"Powiat m.Legnica";15,5;
0264000;"Powiat m.Wrocław";12,4;
0265000;"Powiat m.Wałbrzych od 2013";18,0;
0400000;"KUJAWSKO-POMORSKIE";16,2;
0401000;"Powiat aleksandrowski";16,7;
0402000;"Powiat brodnicki";16,8;
0403000;"Powiat bydgoski";18,0;
0404000;"Powiat chełmiński";15,3;
0405000;"Powiat golubsko-dobrzyński";19,9;
0406000;"Powiat grudziądzki";15,3;
0407000;"Powiat inowrocławski";16,7;
0408000;"Powiat lipnowski";20,1;
0409000;"Powiat mogileński";17,7;
0410000;"Powiat nakielski";19,7;
0411000;"Powiat radziejowski";17,6;
0412000;"Powiat rypiński";15,4;
0413000;"Powiat sępoleński";12,0;
0414000;"Powiat świecki";16,8;
0415000;"Powiat toruński";16,8;
0416000;"Powiat tucholski";14,7;
0417000;"Powiat wąbrzeski";17,7;
0418000;"Powiat włocławski";17,8;
0419000;"Powiat żniński";16,2;
0461000;"Powiat m.Bydgoszcz";13,6;
0462000;"Powiat m.Grudziądz";16,3;
0463000;"Powiat m.Toruń";14,1;
0464000;"Powiat m.Włocławek";18,0;
0600000;"LUBELSKIE";15,1;
0601000;"Powiat bialski";13,7;
0602000;"Powiat biłgorajski";14,0;
0603000;"Powiat chełmski";15,0;
0604000;"Powiat hrubieszowski";15,1;
0605000;"Powiat janowski";13,1;
0606000;"Powiat krasnostawski";14,4;
0607000;"Powiat kraśnicki";13,8;
0608000;"Powiat lubartowski";16,5;
0609000;"Powiat lubelski";15,5;
0610000;"Powiat łęczyński";19,6;
0611000;"Powiat łukowski";14,9;
0612000;"Powiat opolski";17,1;
0613000;"Powiat parczewski";16,2;
0614000;"Powiat puławski";14,6;
0615000;"Powiat radzyński";16,7;
0616000;"Powiat rycki";16,3;
0617000;"Powiat świdnicki";12,4;
0618000;"Powiat tomaszowski";15,7;
0619000;"Powiat włodawski";14,6;
0620000;"Powiat zamojski";14,5;
0661000;"Powiat m.Biała Podlaska";20,8;
0662000;"Powiat m.Chełm";16,6;
0663000;"Powiat m.Lublin";14,3;
0664000;"Powiat m.Zamość";18,0;
0800000;"LUBUSKIE";17,7;
0801000;"Powiat gorzowski";19,4;
0802000;"Powiat krośnieński";16,6;
0803000;"Powiat międzyrzecki";20,0;
0804000;"Powiat nowosolski";15,5;
0805000;"Powiat słubicki";19,8;
0806000;"Powiat strzelecko-drezdenecki";18,4;
0807000;"Powiat sulęciński";18,4;
0808000;"Powiat świebodziński";17,5;
0809000;"Powiat zielonogórski";17,6;
0810000;"Powiat żagański";20,3;
0811000;"Powiat żarski";19,8;
0812000;"Powiat wschowski";18,5;
0861000;"Powiat m.Gorzów Wielkopolski";15,7;
0862000;"Powiat m.Zielona Góra";15,4;
1000000;"ŁÓDZKIE";16,2;
1001000;"Powiat bełchatowski";20,0;
1002000;"Powiat kutnowski";17,0;
1003000;"Powiat łaski";15,1;
1004000;"Powiat łęczycki";15,3;
1005000;"Powiat łowicki";17,5;
1006000;"Powiat łódzki wschodni";17,3;
1007000;"Powiat opoczyński";15,7;
1008000;"Powiat pabianicki";15,4;
1009000;"Powiat pajęczański";13,7;
1010000;"Powiat piotrkowski";18,0;
1011000;"Powiat poddębicki";17,2;
1012000;"Powiat radomszczański";16,6;
1013000;"Powiat rawski";16,5;
1014000;"Powiat sieradzki";17,7;
1015000;"Powiat skierniewicki";15,1;
1016000;"Powiat tomaszowski";17,3;
1017000;"Powiat wieluński";15,5;
1018000;"Powiat wieruszowski";18,2;
1019000;"Powiat zduńskowolski";18,4;
1020000;"Powiat zgierski";18,6;
1021000;"Powiat brzeziński";16,0;
1061000;"Powiat m.Łódź";14,3;
1062000;"Powiat m.Piotrków Trybunalski";18,4;
1063000;"Powiat m.Skierniewice";15,7;
1200000;"MAŁOPOLSKIE";14,5;
1201000;"Powiat bocheński";15,1;
1202000;"Powiat brzeski";15,6;
1203000;"Powiat chrzanowski";15,9;
1204000;"Powiat dąbrowski";14,5;
1205000;"Powiat gorlicki";14,9;
1206000;"Powiat krakowski";15,3;
1207000;"Powiat limanowski";17,2;
1208000;"Powiat miechowski";14,6;
1209000;"Powiat myślenicki";19,6;
1210000;"Powiat nowosądecki";15,3;
1211000;"Powiat nowotarski";15,6;
1212000;"Powiat olkuski";14,7;
1213000;"Powiat oświęcimski";14,7;
1214000;"Powiat proszowicki";13,7;
1215000;"Powiat suski";17,1;
1216000;"Powiat tarnowski";15,7;
1217000;"Powiat tatrzański";15,4;
1218000;"Powiat wadowicki";15,7;
1219000;"Powiat wielicki";12,6;
1261000;"Powiat m.Kraków";11,7;
1262000;"Powiat m.Nowy Sącz";15,9;
1263000;"Powiat m.Tarnów";13,9;
1400000;"MAZOWIECKIE";14,9;
1401000;"Powiat białobrzeski";18,2;
1402000;"Powiat ciechanowski";18,5;
1403000;"Powiat garwoliński";17,9;
1404000;"Powiat gostyniński";16,9;
1405000;"Powiat grodziski";14,3;
1406000;"Powiat grójecki";16,1;
1407000;"Powiat kozienicki";16,9;
1408000;"Powiat legionowski";17,6;
1409000;"Powiat lipski";16,3;
1410000;"Powiat łosicki";13,0;
1411000;"Powiat makowski";16,0;
1412000;"Powiat miński";15,9;
1413000;"Powiat mławski";18,8;
1414000;"Powiat nowodworski";16,6;
1415000;"Powiat ostrołęcki";20,5;
1416000;"Powiat ostrowski";16,0;
1417000;"Powiat otwocki";13,4;
1418000;"Powiat piaseczyński";17,3;
1419000;"Powiat płocki";18,0;
1420000;"Powiat płoński";16,9;
1421000;"Powiat pruszkowski";14,6;
1422000;"Powiat przasnyski";18,7;
1423000;"Powiat przysuski";16,0;
1424000;"Powiat pułtuski";16,8;
1425000;"Powiat radomski";18,7;
1426000;"Powiat siedlecki";18,2;
1427000;"Powiat sierpecki";18,6;
1428000;"Powiat sochaczewski";18,1;
1429000;"Powiat sokołowski";15,5;
1430000;"Powiat szydłowiecki";16,7;
1432000;"Powiat warszawski zachodni";17,6;
1433000;"Powiat węgrowski";15,7;
1434000;"Powiat wołomiński";17,7;
1435000;"Powiat wyszkowski";16,0;
1436000;"Powiat zwoleński";19,2;
1437000;"Powiat żuromiński";17,2;
1438000;"Powiat żyrardowski";18,1;
1461000;"Powiat m.Ostrołęka";15,0;
1462000;"Powiat m.Płock";15,0;
1463000;"Powiat m.Radom";15,5;
1464000;"Powiat m.Siedlce";14,5;
1465000;"Powiat m. st. Warszawa";11,1;
1600000;"OPOLSKIE";14,7;
1601000;"Powiat brzeski";16,5;
1602000;"Powiat głubczycki";14,4;
1603000;"Powiat kędzierzyńsko-kozielski";16,2;
1604000;"Powiat kluczborski";14,6;
1605000;"Powiat krapkowicki";15,2;
1606000;"Powiat namysłowski";16,2;
1607000;"Powiat nyski";15,3;
1608000;"Powiat oleski";13,8;
1609000;"Powiat opolski";14,4;
1610000;"Powiat prudnicki";14,8;
1611000;"Powiat strzelecki";14,0;
1661000;"Powiat m.Opole";12,1;
1800000;"PODKARPACKIE";14,9;
1801000;"Powiat bieszczadzki";20,7;
1802000;"Powiat brzozowski";12,7;
1803000;"Powiat dębicki";15,1;
1804000;"Powiat jarosławski";14,1;
1805000;"Powiat jasielski";13,2;
1806000;"Powiat kolbuszowski";14,5;
1807000;"Powiat krośnieński";14,5;
1808000;"Powiat leżajski";15,6;
1809000;"Powiat lubaczowski";14,9;
1810000;"Powiat łańcucki";14,7;
1811000;"Powiat mielecki";16,4;
1812000;"Powiat niżański";19,0;
1813000;"Powiat przemyski";16,1;
1814000;"Powiat przeworski";13,6;
1815000;"Powiat ropczycko-sędziszowski";16,6;
1816000;"Powiat rzeszowski";15,7;
1817000;"Powiat sanocki";15,8;
1818000;"Powiat stalowowolski";14,5;
1819000;"Powiat strzyżowski";14,3;
1820000;"Powiat tarnobrzeski";16,7;
1821000;"Powiat leski";15,5;
1861000;"Powiat m.Krosno";15,3;
1862000;"Powiat m.Przemyśl";12,9;
1863000;"Powiat m.Rzeszów";13,2;
1864000;"Powiat m.Tarnobrzeg";15,9;
2000000;"PODLASKIE";15,6;
2001000;"Powiat augustowski";16,0;
2002000;"Powiat białostocki";16,8;
2003000;"Powiat bielski";11,5;
2004000;"Powiat grajewski";17,5;
2005000;"Powiat hajnowski";14,2;
2006000;"Powiat kolneński";19,5;
2007000;"Powiat łomżyński";17,2;
2008000;"Powiat moniecki";13,1;
2009000;"Powiat sejneński";16,3;
2010000;"Powiat siemiatycki";14,1;
2011000;"Powiat sokólski";15,0;
2012000;"Powiat suwalski";16,9;
2013000;"Powiat wysokomazowiecki";16,0;
2014000;"Powiat zambrowski";13,6;
2061000;"Powiat m.Białystok";15,1;
2062000;"Powiat m.Łomża";17,0;
2063000;"Powiat m.Suwałki";18,5;
2200000;"POMORSKIE";15,7;
2201000;"Powiat bytowski";16,2;
2202000;"Powiat chojnicki";19,4;
2203000;"Powiat człuchowski";17,1;
2204000;"Powiat gdański";18,5;
2205000;"Powiat kartuski";17,5;
2206000;"Powiat kościerski";18,9;
2207000;"Powiat kwidzyński";16,9;
2208000;"Powiat lęborski";17,4;
2209000;"Powiat malborski";15,3;
2210000;"Powiat nowodworski";21,1;
2211000;"Powiat pucki";20,2;
2212000;"Powiat słupski";20,6;
2213000;"Powiat starogardzki";17,2;
2214000;"Powiat tczewski";17,1;
2215000;"Powiat wejherowski";20,1;
2216000;"Powiat sztumski";20,6;
2261000;"Powiat m.Gdańsk";11,9;
2262000;"Powiat m.Gdynia";11,7;
2263000;"Powiat m.Słupsk";14,8;
2264000;"Powiat m.Sopot";9,6;
2400000;"ŚLĄSKIE";16,4;
2401000;"Powiat będziński";15,5;
2402000;"Powiat bielski";15,5;
2403000;"Powiat cieszyński";14,2;
2404000;"Powiat częstochowski";16,0;
2405000;"Powiat gliwicki";16,6;
2406000;"Powiat kłobucki";16,5;
2407000;"Powiat lubliniecki";14,8;
2408000;"Powiat mikołowski";16,9;
2409000;"Powiat myszkowski";17,3;
2410000;"Powiat pszczyński";19,7;
2411000;"Powiat raciborski";14,9;
2412000;"Powiat rybnicki";17,1;
2413000;"Powiat tarnogórski";13,6;
2414000;"Powiat bieruńsko-lędziński";20,0;
2415000;"Powiat wodzisławski";17,3;
2416000;"Powiat zawierciański";15,5;
2417000;"Powiat żywiecki";15,7;
2461000;"Powiat m.Bielsko-Biała";13,3;
2462000;"Powiat m.Bytom";19,7;
2463000;"Powiat m.Chorzów";15,5;
2464000;"Powiat m.Częstochowa";16,3;
2465000;"Powiat m.Dąbrowa Górnicza";15,6;
2466000;"Powiat m.Gliwice";15,0;
2467000;"Powiat m.Jastrzębie-Zdrój";16,9;
2468000;"Powiat m.Jaworzno";17,9;
2469000;"Powiat m.Katowice";15,2;
2470000;"Powiat m.Mysłowice";19,3;
2471000;"Powiat m.Piekary Śląskie";15,8;
2472000;"Powiat m.Ruda Śląska";18,5;
2473000;"Powiat m.Rybnik";18,2;
2474000;"Powiat m.Siemianowice Śląskie";17,0;
2475000;"Powiat m.Sosnowiec";16,0;
2476000;"Powiat m.Świętochłowice";19,9;
2477000;"Powiat m.Tychy";14,7;
2478000;"Powiat m.Zabrze";19,4;
2479000;"Powiat m.Żory";19,8;
2600000;"ŚWIĘTOKRZYSKIE";15,0;
2601000;"Powiat buski";13,9;
2602000;"Powiat jędrzejowski";14,6;
2603000;"Powiat kazimierski";12,8;
2604000;"Powiat kielecki";17,3;
2605000;"Powiat konecki";16,7;
2606000;"Powiat opatowski";14,5;
2607000;"Powiat ostrowiecki";15,4;
2608000;"Powiat pińczowski";13,7;
2609000;"Powiat sandomierski";13,1;
2610000;"Powiat skarżyski";15,4;
2611000;"Powiat starachowicki";14,6;
2612000;"Powiat staszowski";18,0;
2613000;"Powiat włoszczowski";13,1;
2661000;"Powiat m.Kielce";13,8;
2800000;"WARMIŃSKO-MAZURSKIE";18,0;
2801000;"Powiat bartoszycki";19,9;
2802000;"Powiat braniewski";20,7;
2803000;"Powiat działdowski";20,3;
2804000;"Powiat elbląski";20,4;
2805000;"Powiat ełcki";18,2;
2806000;"Powiat giżycki";16,4;
2807000;"Powiat iławski";18,8;
2808000;"Powiat kętrzyński";16,3;
2809000;"Powiat lidzbarski";20,0;
2810000;"Powiat mrągowski";19,7;
2811000;"Powiat nidzicki";16,6;
2812000;"Powiat nowomiejski";17,6;
2813000;"Powiat olecki";19,1;
2814000;"Powiat olsztyński";18,4;
2815000;"Powiat ostródzki";20,1;
2816000;"Powiat piski";22,4;
2817000;"Powiat szczycieński";20,1;
2818000;"Powiat gołdapski";17,6;
2819000;"Powiat węgorzewski";17,0;
2861000;"Powiat m.Elbląg";14,4;
2862000;"Powiat m.Olsztyn";14,2;
3000000;"WIELKOPOLSKIE";16,4;
3001000;"Powiat chodzieski";16,2;
3002000;"Powiat czarnkowsko-trzcianecki";15,7;
3003000;"Powiat gnieźnieński";18,0;
3004000;"Powiat gostyński";15,8;
3005000;"Powiat grodziski";20,4;
3006000;"Powiat jarociński";16,5;
3007000;"Powiat kaliski";17,1;
3008000;"Powiat kępiński";16,4;
3009000;"Powiat kolski";17,3;
3010000;"Powiat koniński";17,9;
3011000;"Powiat kościański";17,2;
3012000;"Powiat krotoszyński";17,1;
3013000;"Powiat leszczyński";17,4;
3014000;"Powiat międzychodzki";14,2;
3015000;"Powiat nowotomyski";18,0;
3016000;"Powiat obornicki";17,4;
3017000;"Powiat ostrowski";17,9;
3018000;"Powiat ostrzeszowski";20,4;
3019000;"Powiat pilski";19,6;
3020000;"Powiat pleszewski";14,9;
3021000;"Powiat poznański";18,4;
3022000;"Powiat rawicki";15,2;
3023000;"Powiat słupecki";16,2;
3024000;"Powiat szamotulski";15,3;
3025000;"Powiat średzki";14,9;
3026000;"Powiat śremski";16,0;
3027000;"Powiat turecki";18,4;
3028000;"Powiat wągrowiecki";16,9;
3029000;"Powiat wolsztyński";16,0;
3030000;"Powiat wrzesiński";16,1;
3031000;"Powiat złotowski";18,3;
3061000;"Powiat m.Kalisz";16,6;
3062000;"Powiat m.Konin";18,9;
3063000;"Powiat m.Leszno";15,4;
3064000;"Powiat m.Poznań";12,5;
3200000;"ZACHODNIOPOMORSKIE";16,2;
3201000;"Powiat białogardzki";14,6;
3202000;"Powiat choszczeński";18,7;
3203000;"Powiat drawski";15,7;
3204000;"Powiat goleniowski";17,3;
3205000;"Powiat gryficki";18,1;
3206000;"Powiat gryfiński";18,2;
3207000;"Powiat kamieński";17,5;
3208000;"Powiat kołobrzeski";15,2;
3209000;"Powiat koszaliński";18,9;
3210000;"Powiat myśliborski";18,5;
3211000;"Powiat policki";21,0;
3212000;"Powiat pyrzycki";15,8;
3213000;"Powiat sławieński";19,7;
3214000;"Powiat stargardzki";18,3;
3215000;"Powiat szczecinecki";15,9;
3216000;"Powiat świdwiński";17,7;
3217000;"Powiat wałecki";18,5;
3218000;"Powiat łobeski";15,7;
3261000;"Powiat m.Koszalin";12,6;
