"Kod";"Nazwa";"ogółem;2018;[zł]";
0000000;"POLSKA";4834,76;
0200000;"DOLNOŚLĄSKIE";4942,39;
0201000;"Powiat bolesławiecki";4214,66;
0202000;"Powiat dzierżoniowski";4024,94;
0203000;"Powiat głogowski";4077,69;
0204000;"Powiat górowski";3815,89;
0205000;"Powiat jaworski";4029,64;
0206000;"Powiat jeleniogórski";4035,56;
0207000;"Powiat kamiennogórski";4013,33;
0208000;"Powiat kłodzki";4054,23;
0209000;"Powiat legnicki";4185,47;
0210000;"Powiat lubański";3939,03;
0211000;"Powiat lubiński";7915,01;
0212000;"Powiat lwówecki";3950,65;
0213000;"Powiat milicki";3734,38;
0214000;"Powiat oleśnicki";4128,29;
0215000;"Powiat oławski";4415,62;
0216000;"Powiat polkowicki";4941,87;
0217000;"Powiat strzeliński";4398,08;
0218000;"Powiat średzki";4805,68;
0219000;"Powiat świdnicki";4427,25;
0220000;"Powiat trzebnicki";3955,41;
0221000;"Powiat wałbrzyski";3825,44;
0222000;"Powiat wołowski";5086,07;
0223000;"Powiat wrocławski";4880,00;
0224000;"Powiat ząbkowicki";3856,48;
0225000;"Powiat zgorzelecki";4225,18;
0226000;"Powiat złotoryjski";4362,98;
0261000;"Powiat m.Jelenia Góra";4546,12;
0262000;"Powiat m.Legnica";4259,37;
0264000;"Powiat m.Wrocław";5338,47;
0265000;"Powiat m.Wałbrzych od 2013";4768,01;
0400000;"KUJAWSKO-POMORSKIE";4139,21;
0401000;"Powiat aleksandrowski";3641,04;
0402000;"Powiat brodnicki";3762,94;
0403000;"Powiat bydgoski";4208,79;
0404000;"Powiat chełmiński";3795,52;
0405000;"Powiat golubsko-dobrzyński";4313,35;
0406000;"Powiat grudziądzki";3950,03;
0407000;"Powiat inowrocławski";3839,40;
0408000;"Powiat lipnowski";3491,32;
0409000;"Powiat mogileński";3855,21;
0410000;"Powiat nakielski";3706,48;
0411000;"Powiat radziejowski";3596,25;
0412000;"Powiat rypiński";3741,05;
0413000;"Powiat sępoleński";3730,47;
0414000;"Powiat świecki";4170,33;
0415000;"Powiat toruński";3726,88;
0416000;"Powiat tucholski";3600,87;
0417000;"Powiat wąbrzeski";3934,94;
0418000;"Powiat włocławski";3771,18;
0419000;"Powiat żniński";3654,34;
0461000;"Powiat m.Bydgoszcz";4481,39;
0462000;"Powiat m.Grudziądz";3743,06;
0463000;"Powiat m.Toruń";4629,36;
