"Kod";"Nazwa";"ogółem;2018;[%]";
0000000;"POLSKA";5,8;
0200000;"DOLNOŚLĄSKIE";5,2;
0201000;"Powiat bolesławiecki";3,8;
0202000;"Powiat dzierżoniowski";6,1;
0203000;"Powiat głogowski";8,9;
0204000;"Powiat górowski";15,3;
0205000;"Powiat jaworski";12,4;
0206000;"Powiat jeleniogórski";8,9;
0207000;"Powiat kamiennogórski";6,2;
0208000;"Powiat kłodzki";11,8;
0209000;"Powiat legnicki";10,1;
0210000;"Powiat lubański";7,3;
0211000;"Powiat lubiński";4,8;
0212000;"Powiat lwówecki";12,2;
0213000;"Powiat milicki";6,8;
0214000;"Powiat oleśnicki";5,4;
0215000;"Powiat oławski";5,4;
0216000;"Powiat polkowicki";4,5;
0217000;"Powiat strzeliński";10,5;
0218000;"Powiat średzki";5,5;
0219000;"Powiat świdnicki";6,2;
0220000;"Powiat trzebnicki";5,8;
0221000;"Powiat wałbrzyski";13,6;
0222000;"Powiat wołowski";11,3;
0223000;"Powiat wrocławski";1,8;
0224000;"Powiat ząbkowicki";10,9;
0225000;"Powiat zgorzelecki";5,1;
0226000;"Powiat złotoryjski";14,8;
0261000;"Powiat m.Jelenia Góra";3,6;
0262000;"Powiat m.Legnica";5,0;
0264000;"Powiat m.Wrocław";1,9;
0265000;"Powiat m.Wałbrzych od 2013";6,0;
0400000;"KUJAWSKO-POMORSKIE";8,8;
0401000;"Powiat aleksandrowski";12,9;
0402000;"Powiat brodnicki";7,2;
0403000;"Powiat bydgoski";5,5;
0404000;"Powiat chełmiński";12,6;
0405000;"Powiat golubsko-dobrzyński";10,2;
0406000;"Powiat grudziądzki";13,4;
0407000;"Powiat inowrocławski";12,6;
0408000;"Powiat lipnowski";17,0;
0409000;"Powiat mogileński";10,7;
0410000;"Powiat nakielski";11,7;
0411000;"Powiat radziejowski";16,6;
0412000;"Powiat rypiński";11,6;
0413000;"Powiat sępoleński";12,5;
0414000;"Powiat świecki";7,5;
0415000;"Powiat toruński";11,0;
0416000;"Powiat tucholski";11,0;
0417000;"Powiat wąbrzeski";12,0;
0418000;"Powiat włocławski";15,6;
0419000;"Powiat żniński";10,6;
0461000;"Powiat m.Bydgoszcz";3,6;
0462000;"Powiat m.Grudziądz";9,2;
0463000;"Powiat m.Toruń";4,7;
0464000;"Powiat m.Włocławek";10,7;
0600000;"LUBELSKIE";8,0;
0601000;"Powiat bialski";9,9;
0602000;"Powiat biłgorajski";5,0;
0603000;"Powiat chełmski";13,3;
0604000;"Powiat hrubieszowski";13,1;
0605000;"Powiat janowski";8,5;
0606000;"Powiat krasnostawski";11,5;
0607000;"Powiat kraśnicki";10,2;
0608000;"Powiat lubartowski";10,7;
0609000;"Powiat lubelski";6,3;
0610000;"Powiat łęczyński";5,4;
0611000;"Powiat łukowski";4,4;
0612000;"Powiat opolski";9,2;
0613000;"Powiat parczewski";7,2;
0614000;"Powiat puławski";6,3;
0615000;"Powiat radzyński";7,0;
0616000;"Powiat rycki";7,9;
0617000;"Powiat świdnicki";9,2;
0618000;"Powiat tomaszowski";6,8;
0619000;"Powiat włodawski";15,3;
0620000;"Powiat zamojski";9,1;
0661000;"Powiat m.Biała Podlaska";10,3;
0662000;"Powiat m.Chełm";11,2;
0663000;"Powiat m.Lublin";5,5;
0664000;"Powiat m.Zamość";10,0;
0800000;"LUBUSKIE";5,8;
0801000;"Powiat gorzowski";4,3;
0802000;"Powiat krośnieński";9,3;
0803000;"Powiat międzyrzecki";12,0;
0804000;"Powiat nowosolski";8,5;
0805000;"Powiat słubicki";2,5;
0806000;"Powiat strzelecko-drezdenecki";11,0;
0807000;"Powiat sulęciński";6,4;
0808000;"Powiat świebodziński";4,4;
0809000;"Powiat zielonogórski";6,7;
0810000;"Powiat żagański";9,4;
0811000;"Powiat żarski";6,0;
0812000;"Powiat wschowski";8,5;
0861000;"Powiat m.Gorzów Wielkopolski";2,6;
0862000;"Powiat m.Zielona Góra";3,3;
1000000;"ŁÓDZKIE";6,1;
1001000;"Powiat bełchatowski";5,7;
1002000;"Powiat kutnowski";8,9;
1003000;"Powiat łaski";7,9;
1004000;"Powiat łęczycki";7,3;
1005000;"Powiat łowicki";5,5;
1006000;"Powiat łódzki wschodni";7,0;
1007000;"Powiat opoczyński";5,9;
1008000;"Powiat pabianicki";6,9;
1009000;"Powiat pajęczański";7,4;
1010000;"Powiat piotrkowski";5,5;
1011000;"Powiat poddębicki";6,4;
1012000;"Powiat radomszczański";6,1;
1013000;"Powiat rawski";3,9;
1014000;"Powiat sieradzki";6,1;
1015000;"Powiat skierniewicki";3,8;
1016000;"Powiat tomaszowski";7,4;
1017000;"Powiat wieluński";6,5;
1018000;"Powiat wieruszowski";4,6;
1019000;"Powiat zduńskowolski";6,9;
1020000;"Powiat zgierski";6,9;
1021000;"Powiat brzeziński";6,9;
1061000;"Powiat m.Łódź";5,4;
1062000;"Powiat m.Piotrków Trybunalski";5,5;
1063000;"Powiat m.Skierniewice";5,5;
1200000;"MAŁOPOLSKIE";4,7;
1201000;"Powiat bocheński";4,5;
1202000;"Powiat brzeski";5,3;
1203000;"Powiat chrzanowski";8,0;
1204000;"Powiat dąbrowski";10,8;
1205000;"Powiat gorlicki";5,3;
1206000;"Powiat krakowski";4,3;
1207000;"Powiat limanowski";7,5;
1208000;"Powiat miechowski";4,4;
1209000;"Powiat myślenicki";2,7;
1210000;"Powiat nowosądecki";8,1;
1211000;"Powiat nowotarski";5,9;
1212000;"Powiat olkuski";7,3;
1213000;"Powiat oświęcimski";5,6;
1214000;"Powiat proszowicki";6,1;
1215000;"Powiat suski";4,7;
1216000;"Powiat tarnowski";7,1;
1217000;"Powiat tatrzański";9,4;
1218000;"Powiat wadowicki";5,3;
1219000;"Powiat wielicki";4,6;
1261000;"Powiat m.Kraków";2,3;
1262000;"Powiat m.Nowy Sącz";3,2;
1263000;"Powiat m.Tarnów";5,3;
1400000;"MAZOWIECKIE";4,9;
1401000;"Powiat białobrzeski";7,6;
1402000;"Powiat ciechanowski";9,9;
1403000;"Powiat garwoliński";9,1;
1404000;"Powiat gostyniński";14,5;
1405000;"Powiat grodziski";2,9;
1406000;"Powiat grójecki";2,1;
1407000;"Powiat kozienicki";10,9;
1408000;"Powiat legionowski";6,9;
1409000;"Powiat lipski";9,9;
1410000;"Powiat łosicki";5,6;
1411000;"Powiat makowski";16,3;
1412000;"Powiat miński";5,2;
1413000;"Powiat mławski";5,9;
1414000;"Powiat nowodworski";6,0;
1415000;"Powiat ostrołęcki";10,1;
1416000;"Powiat ostrowski";8,5;
1417000;"Powiat otwocki";4,1;
1418000;"Powiat piaseczyński";3,9;
1419000;"Powiat płocki";11,6;
1420000;"Powiat płoński";10,3;
1421000;"Powiat pruszkowski";3,3;
1422000;"Powiat przasnyski";9,6;
1423000;"Powiat przysuski";18,4;
1424000;"Powiat pułtuski";12,5;
1425000;"Powiat radomski";17,4;
1426000;"Powiat siedlecki";5,5;
1427000;"Powiat sierpecki";16,6;
1428000;"Powiat sochaczewski";5,9;
1429000;"Powiat sokołowski";5,6;
1430000;"Powiat szydłowiecki";24,3;
1432000;"Powiat warszawski zachodni";2,0;
1433000;"Powiat węgrowski";6,3;
1434000;"Powiat wołomiński";7,4;
1435000;"Powiat wyszkowski";4,3;
1436000;"Powiat zwoleński";10,8;
1437000;"Powiat żuromiński";14,9;
1438000;"Powiat żyrardowski";10,4;
1461000;"Powiat m.Ostrołęka";9,1;
1462000;"Powiat m.Płock";6,8;
1463000;"Powiat m.Radom";12,1;
1464000;"Powiat m.Siedlce";4,8;
1465000;"Powiat m. st. Warszawa";1,5;
1600000;"OPOLSKIE";6,3;
